LP,KRS,NIP,Name,Voivodeship,County,Municipality,City
1,0000000168,5422692744,"STOWARZYSZENIE POMOCY DZIECIOM Z PORAŻENIEM MÓZGOWYM ""JASNY CEL""",PODLASKIE,M. BIAŁYSTOK,M. BIAŁYSTOK,BIAŁYSTOK
2,0000000291,5422697397,FUNDACJA NA RZECZ POMOCY DZIECIOM Z GRODZIEŃSZCZYZNY,PODLASKIE,M. BIAŁYSTOK,M. BIAŁYSTOK,BIAŁYSTOK
3,0000000525,5422698451,"FUNDACJA ""ADAMA""",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
4,0000000650,6422105641,"""RYBNICKI KLUB PIŁKARSKI - SZKÓŁKA PIŁKARSKA ROW W RYBNIKU""",ŚLĄSKIE,M. RYBNIK,M. RYBNIK,RYBNIK
5,0000000668,6331000451,"GÓRNICZY KLUB SPORTOWY ""PNIÓWEK - 74""",ŚLĄSKIE,PSZCZYŃSKI,PAWŁOWICE,PAWŁOWICE
6,0000000715,,GLIWICKI KLUB KARATE KYOKUSHIN,ŚLĄSKIE,M. GLIWICE,M. GLIWICE,GLIWICE
7,0000000963,7491899923,STOWARZYSZENIE NA RZECZ ROZWOJU WSI MECHNICA,OPOLSKIE,KĘDZIERZYŃSKO-KOZIELSKI,REŃSKA WIEŚ,MECHNICA
8,0000001005,6391763945,"LUDOWY KLUB SPORTOWY ""BUK"" RUDY Z SIEDZIBĄ W RUDACH",ŚLĄSKIE,RACIBORSKI,KUŹNIA RACIBORSKA,RUDY
9,0000001095,9690051450,"""OGNISKO TOWARZYSTWA KRZEWIENIA KULTURY FIZYCZNEJ SZCZYGŁOWICE""",ŚLĄSKIE,GLIWICKI,KNURÓW,KNURÓW
10,0000001109,6421013486,"MIEJSKI KOSZYKARSKI KLUB SPORTOWY ""RYBNIK"" W RYBNIKU",ŚLĄSKIE,M.RYBNIK,M.RYBNIK,RYBNIK
11,0000001164,6422458718,MIEJSKI KLUB SZACHOWY W RYBNIKU,ŚLĄSKIE,RYBNIK,RYBNIK,RYBNIK
12,0000001304,5782546074,ELBLĄSKIE STOWARZYSZENIE ORGANIZATORÓW POMOCY SPOŁECZNEJ W ELBLĄGU,WARMIŃSKO-MAZURSKIE,M. ELBLĄG,M. ELBLĄG,ELBLĄG
13,0000001316,5781091298,ELBLĄSKIE STOWARZYSZENIE WSPIERANIA INICJATYW POZARZĄDOWYCH,WARMIŃSKO-MAZURSKIE,M. ELBLĄG,M. ELBLĄG,ELBLĄG
14,0000001330,6452255144,"TOWARZYSTWO SPORTOWE ""ISKRA"" LASOWICE Z SIEDZIBĄ W TARNOWSKICH GÓRACH",ŚLĄSKIE,TARNOGÓRSKI,TARNOWSKIE GÓRY,TARNOWSKIE GÓRY
15,0000001366,6311075799,EWANGELICKIE TOWARZYSTWO EDUKACYJNE W GLIWICACH,ŚLĄSKIE,M. GLIWICE,M. GLIWICE,GLIWICE
16,0000001450,6412032461,"GÓRNICZY KLUB SPORTOWY ""URANIA"" PRZY KOPALNI WĘGLA KAMIENNEGO ""POLSKA - WIREK""",ŚLĄSKIE,M. RUDA ŚLĄSKA,M. RUDA ŚLĄSKA,RUDA ŚLĄSKA - KOCHŁOWICE
17,0000001451,6310212389,"KLUB SPORTOWY ""CARBO-GLIWICE"" W GLIWICACH",ŚLĄSKIE,M. GLIWICE,M. GLIWICE,GLIWICE
18,0000001456,6312179615,DOM WSPÓŁPRACY POLSKO-NIEMIECKIEJ,ŚLĄSKIE,GLIWICE,GLIWICE,GLIWICE
19,0000001509,6471476662,"LUDOWY KLUB SPORTOWY ""START"" MSZANA W MSZANIE",ŚLĄSKIE,WODZISŁAWSKI,MSZANA,MSZANA
20,0000001575,6331730959,JASTRZĘBSKI KLUB HOKEJOWY GKS JASTRZĘBIE,ŚLĄSKIE,JASTRZĘBIE-ZDRÓJ,JASTRZĘBIE-ZDRÓJ,JASTRZĘBIE-ZDRÓJ
21,0000001619,6470508578,"KLUB SPORTOWY ""GÓRNIK - RADLIN"" W RADLINIE",ŚLĄSKIE,WODZISŁAWSKI,RADLIN,RADLIN
22,0000001666,6472227903,SIATKARSKI KLUB GÓRNIK RADLIN Z SIEDZIBĄ W RADLINIE,ŚLĄSKIE,WODZISŁAWSKI,RADLIN,RADLIN
23,0000001676,6391698604,"STOWARZYSZENIE KULTURY ZIEMI RACIBORSKIEJ ""ŹRÓDŁO""",ŚLĄSKIE,RACIBORSKI,RACIBÓRZ,RACIBÓRZ
24,0000001681,6472232100,GÓRNICZY KLUB SPORTOWY NAPRZÓD - 23 RYDUŁTOWY,ŚLĄSKIE,WODZISŁAWSKI,RYDUŁTOWY,RYDUŁTOWY
25,0000001685,6471774313,"KLUB SPORTOWY ""PŁOMIEŃ"" POŁOMIA",ŚLĄSKIE,WODZISŁAWSKI,MSZANA,POŁOMIA
26,0000001693,6412215500,"STOWARZYSZENIE REKREACYJNO-SPORTOWE ""GWIAZDA"" RUDA ŚLĄSKA",ŚLĄSKIE,M. RUDA ŚLĄSKA,M. RUDA ŚLĄSKA,RUDA ŚLĄSKA
27,0000001715,6452150600,"STOWARZYSZENIE ""SERDECZNI"" Z SIEDZIBĄ W TARNOWSKICH GÓRACH",ŚLĄSKIE,TARNOGÓRSKI,TARNOWSKIE GÓRY,TARNOWSKIE GÓRY
28,0000001718,6420020366,"STOWARZYSZENIE OŚWIATOWE ""RODZICE-DZIECIOM""",ŚLĄSKIE,RYBNIK,RYBNIK,RYBNIK
29,0000001767,6332044195,"""BOKSERSKI KLUB SPORTOWY JASTRZĘBIE""",ŚLĄSKIE,M. JASTRZĘBIE-ZDRÓJ,M. JASTRZĘBIE-ZDRÓJ,JASTRZĘBIE-ZDRÓJ
30,0000001812,7952203406,"STOWARZYSZENIE PROFILAKTYKI I WSPIERANIA ROZWOJU OSOBOWOŚCI DZIECI I MŁODZIEŻY ""WZRASTANIE""",PODKARPACKIE,JAROSŁAWSKI,RADYMNO,RADYMNO
31,0000001816,6482002643,"TURYSTYCZNY KLUB ŻEGLARSKI ""KLAR"" Z SIEDZIBĄ W ZABRZU",ŚLĄSKIE,M. ZABRZE,M. ZABRZE,ZABRZE
32,0000001834,6312199262,"STOWARZYSZENIE PRZYJACIÓŁ CHORYCH ""HOSPICJUM"" W GLIWICACH",ŚLĄSKIE,GLIWICE,GLIWICE,GLIWICE
33,0000001895,6391039907,TOWARZYSTWO SPOŁECZNO-KULTURALNE NIEMCÓW WOJEWÓDZTWA ŚLĄSKIEGO W RACIBORZU,ŚLĄSKIE,RACIBORSKI,RACIBÓRZ,RACIBÓRZ
34,0000001971,,FUNDACJA GIMNAZJUM I LICEUM AKADEMICKIE,KUJAWSKO-POMORSKIE,M. TORUŃ,M. TORUŃ,TORUŃ
35,0000001973,,STOWARZYSZENIE SCLEROSIS MULTIPLEX W  KROTOSZYNIE,WIELKOPOLSKIE,KROTOSZYŃSKI,KROTOSZYN,KROTOSZYN
36,0000002098,6471000942,TOWARZYSTWO MIŁOŚNIKÓW RYDUŁTÓW W RYDUŁTOWACH,ŚLĄSKIE,WODZISŁAWSKI,RYDUŁTOWY,RYDUŁTOWY
37,0000002116,6443023262,"SOSNOWIECKIE STOWARZYSZENIE AMAZONEK ""ŻYCIE""",ŚLĄSKIE,SOSNOWIEC,SOSNOWIEC,SOSNOWIEC
